"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"Pride of Hillcrest Block Party","50627","","FESTIVAL","As a prelude to the upcoming LGBT Pride Parade & Festival events, an evening block party takes place that includes a flag raising ceremony, live entertainment, food, cocktails, dancing, and merchandise.","Normal Street between University Avenue and Harvey Milk Street","2018-07-13 17:00:00","2018-07-13 23:30:00","2,500","50","Hillcrest Business Association","www.fabuloushillcrest.com","Normal Street & University Avenue","32.7521124","-117.1481502"
"San Diego LGBT Pride Festival 2018 (3-Day Event)","50538","","FESTIVAL","In a rainbow of color, visitors can enjoy multiple stages of fantastic entertainment, food & drink.
There's a Garden with Pride Zone, Gaming Zone, Youth Zone, Kids Zone, and more. Friday night, the Stonewall Rally kicks off the festival. ","Balboa Park - Marston Point on the west side of the park near 6th Ave. & Laurel St.","2018-07-13 17:00:00","2018-07-13 20:00:00","35,00","800","San Diego LGBT Pride, Inc.","www.sdpride.org","6th Avenue & Laurel Street","32.7313938143","-117.159399402"
"Food Truck Fridays","50664","","FARMERS","On Friday evenings from June 1 to September 28, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway from 4:00 to 8:00 p.m. ","Plaza de Panama and El Prado","2018-07-13 16:00:00","2018-07-13 20:00:00","2,000","60","Parks & Recreation","www.balboapark.org","1450 El Prado","32.7316611885","-117.151808969"
"World Championship OTL Tournament: Multi-day Event","49873","","ATHLETIC","This rough and tumble Over The Line sport is a form of softball played on sand. Over 1,300
three-person teams play in different age divisions. Crowds of people in beachwear gather to
watch the games amid music and beer. The games are played on 50-mini courts over two consecutive weekends.","Fiesta Island in Mission Bay Park","2018-07-13 07:00:00","2018-07-13 22:00:00","35,000","3,900","Old Mission Beach Athletic Club","www.ombac.org","1400 Fiesta Island Road","32.7888843264","-117.213689649"
"North Park Thursday Market","50054","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-07-12 15:00:00","2018-07-12 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50188","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-07-11 16:00:00","2018-07-11 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49809","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-07-11 11:00:00","2018-07-11 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50482","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-07-10 14:00:00","2018-07-10 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","50564","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-07-08 10:00:00","2018-07-08 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"Old Town Artisan's Market","50376","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-07-08 09:00:00","2018-07-08 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2018 Hillcrest Farmers' Market (Sundays)","49928","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-07-08 09:00:00","2018-07-08 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"McAlister Institue's 6th Annual Walk for Sobriety","50815","","ATHLETIC","McAlister Institute invites you to the 6th Annual Walk for Sobriety. Join us in a celebration that brings help and hope to thousands of individuals and families impacted by addiction. ","NTC Park and internal pathways","2018-07-08 08:00:00","2018-07-08 11:00:00","450","50","McAlister Institute","www.mcalisterinc.org","2455 Cushing Road","32.7348786887","-117.213908106"
"Patrons of the Prado Masterpiece Gala 2018","50792","","FESTIVAL","This is the annual fundraiser benefiting the Balboa Park museums. The event includes
cocktails, canapés, dinner, a live auction, and entertainment. This year's theme is ""Masquerade in the Park.""","The Organ Pavilion in Balboa Park","2018-07-07 18:00:00","2018-07-07 23:00:00","500","100","Patrons of the Prado","www.patronsoftheprado.org","2125 Pan AMerican Road East","32.730097","-117.1499818"
"NPCA Bird Park Concert Series","50740","","CONCERTS","The concert series occurs in a community park setting where attendees can picnic, relax, get to
meet and socialize with their neighbors spontaneously dance and listen to the music.","Bird Park east of Morley Field in Balboa Park","2018-07-07 16:30:00","2018-07-07 20:00:00","950","25","North Park Community Association","www.northparksd.org","2705 Upas St","32.7408744","-117.1301472"
"City Heights Farmer's Market (Every Saturday)","50105","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-07-07 09:00:00","2018-07-07 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","50375","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-07-07 09:00:00","2018-07-07 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","50003","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-07-07 08:00:00","2018-07-07 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"Food Truck Fridays","50663","","FARMERS","On Friday evenings from June 1 to September 28, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway from 4:00 to 8:00 p.m. ","Plaza de Panama and El Prado","2018-07-06 16:00:00","2018-07-06 20:00:00","2,000","60","Parks & Recreation","www.balboapark.org","1450 El Prado","32.7316611885","-117.151808969"
"North Park Thursday Market","50053","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-07-05 15:00:00","2018-07-05 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50187","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-07-04 16:00:00","2018-07-04 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Lake Murray 4th of July Fireworks & Music","50513","","FESTIVAL","San Diego Lake Murray Music Fest and Fireworks show happens on July 4th, 2018. The music fest is held at Lake Murray Community Park in San Carlos and the fireworks can be seen throughout the Navajo community, from La Mesa to Del Cerro and beyond. Come and enjoy!","Lake Murray Community Park","2018-07-04 11:00:00","2018-07-04 21:45:00","2,500","100","San Carlos Rec Council","www.lakemurrayfireworks.org","7051 Murray Park Drive","32.7925811","-117.0448245"
"Scripps Ranch 4th of July Parade","50653","","PARADES","The community of Scripps Ranch is celebrating Independence Day with a parade. School bands will play their music in a marching beat that sets the pace for community groups and other entries to follow. In addition, there will be a fun Ice Cream Social at Hoyt Park. ","Ironwood Rd./Red Cedar Dr./Ironwood Rd./Courtyard Dr. - Red Rock Dr./Scripps Ranch Blvd./Hoyt Park","2018-07-04 10:00:00","2018-07-04 12:00:00","4,000","400","Scripps Ranch Civic Association","www.scrippsranch.org","Ironwood Rd. & Red Cedar Dr.","32.9040816","-117.0929895"
"Scripps Ranch Old Pros 10K/2-Mile Runs, Bike Rides","50654","","ATHLETIC","The event offers running and cycling options for different age and skill levels. You can choose
between a 10K Road Race, 2-mile Fun Run, or a 12-mile bike ride, 28-mile bike ride, or a 50-mile bike ride. Proceeds benefit community athletic programs and scholarships for local high school students.","10K Run & 2-Mile Run: Red Cedar Dr. near Miramar Ranch School - Hoyt Park on Canyon Lake Dr. ~ Bike Rides 12-Mile, 28-Mile, 50-Mile: Hibert St /Scripps. Ranch Blvd. - Hoyt Park on Canyon Lake Dr.","2018-07-04 07:00:00","2018-07-04 13:00:00","3,200","60","10770 Red Cedar Dr","www.srop","Scripps Ranch Old Pros, Inc.","32.903155","-117.098637"
"Pacific Beach Tuesday Farmers' Market","50481","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-07-03 14:00:00","2018-07-03 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","50563","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-07-01 10:00:00","2018-07-01 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49927","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-07-01 09:00:00","2018-07-01 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50374","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-07-01 09:00:00","2018-07-01 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Old Town Artisan's Market","50373","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-06-30 09:00:00","2018-06-30 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","50104","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-06-30 09:00:00","2018-06-30 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","50002","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-06-30 08:00:00","2018-06-30 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"Food Truck Fridays","50662","","FARMERS","On Friday evenings from June 1 to September 28, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway from 4:00 to 8:00 p.m. ","Plaza de Panama and El Prado","2018-06-29 16:00:00","2018-06-29 20:00:00","2,000","60","Parks & Recreation","www.balboapark.org","1450 El Prado","32.7316611885","-117.151808969"
"North Park Thursday Market","50052","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-06-28 15:00:00","2018-06-28 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50186","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-06-27 16:00:00","2018-06-27 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49808","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-06-27 11:00:00","2018-06-27 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50480","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-06-26 14:00:00","2018-06-26 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","50562","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-06-24 10:00:00","2018-06-24 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49926","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-06-24 09:00:00","2018-06-24 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"CA Firefighters' Olympics Stickball Event","50791","","ATHLETIC","The game of stickball is played on neighborhood streets where opposing teams use sticks to
maneuver a ball to opposite sites to score for points. Come and watch the firefighter teams battle for stickball glory!","Columbia Street between Cedar and Beech Streets","2018-06-24 09:00:00","2018-06-24 17:00:00","100","60","CA Firefigher Olympics","www.cfaa.org","Columbia & Cedar Streets","",""
"Old Town Artisan's Market","50372","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-06-24 09:00:00","2018-06-24 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Father Joe's San Diego International Triathlon","50656","","ATHLETIC","Top elite and professional athletes will compete for over $7,000 in prize money. The International Course consists of a 1,000-meter swim, 30K cycle, and a 10K run. The Sprint course consists of a 500-meter swim, 20K cycle, and a 6-mile run. A sports-related expo accompanies the event. ","Swim: Harbor Island Marina ~ Bike: Spanish Landing Park-Harbor Dr.-Scott St.-Avenue De Portugual-Locust St.-Canon St.-Catalina Blvd.-Cabrillo Memorial Dr.-Spanish Landing Park ~ Run: Spanish Landing Park-Harbor Island Dr.-Car Rental Rd.-Harbor Dr.-walkway-Embarcadero Marina Park","2018-06-24 06:00:00","2018-06-24 12:00:00","3,000","150","St. Vincent De Paul Village","www.kozenterprises.com","3900 N Harbor Dr","32.7290839712","-117.205819561"
"2018 San Diego Night Market","50814","","FESTIVAL","San Diego's LARGEST Asian-influenced Night Market returns to Convoy Street! The heart of Convoy is connected for attendees to roam freely between the unique & delicious night market foods, merchandise, and the award-winning local bars and restaurants! ","Convoy Street between Daggett Street and Opportunity Road","2018-06-23 17:00:00","2018-06-23 00:00:00","4,000","150","Convoy District Partnership","www.SDNightMarket.com","Convoy & Daggett Streets","",""
"Better-a-Block (Pentecost Way)","50790","","FESTIVAL","A family friendly community block party is happening on Pentecost Way north of Federal Boulevard. Neighbors can enjoy food, community resources, entertainment, kids zone, and visit with police and Mayoral representatives. ","Pentecost Way north of Federal Boulevard","2018-06-23 11:00:00","2018-06-23 14:00:00","400","30","One San Diego","www.1sandiego.org","1700 Pentecost Way","32.7231813","-117.0829679"
"Art Street","50739","","FESTIVAL","Art Street boasts 50 artist booths filled with 2 dimensional art (paintings, sketches etc.) and 3
dimensional arts (Sculpting, pottery, etc.). A beer garden and a stage with live performances of music, comedy, spoken word, dance and perhaps an open mic section.","4700 block of Art Street between El Cajon Boulevard and Seminole Drive.","2018-06-23 11:00:00","2018-06-23 21:00:00","2,000","75","College Area Business District","www.collegeareabid.com","4700 Art Street","32.7634871","-117.0602428"
"39th OB Street Fair & Chili Cook-off Festival","50700","","FESTIVAL","This beachside festival has it all! Just follow the aroma of hot chili and the sounds of rock,
blues, and jazz. Nestled along Antique Row, the streets are lined with booths of food, art, and
merchandise. There are games, rides, and raffles. Be sure to watch the super chili cook-off contest. ","Newport Ave. between Sunset Cliffs Blvd. & Abbott St. ~ Abbott St. between Newport & Santa Monica
Aves. ~ Bacon St. between Santa Monica & Niagara Aves. ~ Cable St. between Santa Monica & Niagara Aves. ~ Veterans Plaza ~ Lifeguard Tower parking lot","2018-06-23 10:00:00","2018-06-23 20:00:00","50,000","500","Ocean Beach MainStreet Association","www.oceanbeachsandiego.com","Newport Avenue & Sunset Cliffs Boulevard","32.7431327","-117.2449981"
"Mass Creativity Day","50687","","FESTIVAL","Mass Creativity Day demonstrates the power of the arts to foster creativity and communication across generational, cultural, and geographical boundaries. It's an all-day, all-age playday with hands-on workshops. ","West Island Avenue between Front St. & Union St., and the park across the street from the New Children's Museum","2018-06-23 09:00:00","2018-06-23 16:00:00","3,000","100","The New Children's Museum","www.thinkplaycreate.org","200 W. Island Avenue","32.7106654757","-117.165153608"
"City Heights Farmer's Market (Every Saturday)","50103","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-06-23 09:00:00","2018-06-23 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","50371","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-06-23 09:00:00","2018-06-23 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","50001","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-06-23 08:00:00","2018-06-23 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"2018 Kai Elua Outrigger Canoe Iron Championships","50657","","ATHLETIC","This is a long-distance canoe race for members of the Southern California Outrigger Racing Association and affiliated clubs within SCORA. There will also be guests from Northern California, other U.S. States, and Canada. Onshore, a dance competition is happening in the
midst of festivities. ","Mariner's Point on western side of Mission Bay Park","2018-06-23 07:00:00","2018-06-23 17:00:00","1,200","100","Kai Elua Outrigger Canoe Club","www.kailuaoutrigger.com","1100 West Mission Bay Drive","32.7701767283","-117.245099363"
"Food Truck Fridays","50661","","FARMERS","On Friday evenings from June 1 to September 28, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway from 4:00 to 8:00 p.m. ","Plaza de Panama and El Prado","2018-06-22 16:00:00","2018-06-22 20:00:00","2,000","60","Parks & Recreation","www.balboapark.org","1450 El Prado","32.7316611885","-117.151808969"
"Sculpture & Cocktails","50738","","MUSEUM","The DJ spins, exotic beverages flow, artworks dazzle, and museum visitors glow at The San Diego Museum of Art's popular sundown series, Culture & Cocktails. Bring a friend, meet someone new, and experience art in a whole new way! ","San Diego Museum of Art and Plaza de Panama","2018-06-21 18:00:00","2018-06-21 22:00:00","1,000","40","The San Diego Museum of Art","www.sdmart.org","1450 El Prado","32.7316611885","-117.151808969"
"North Park Thursday Market","50051","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-06-21 15:00:00","2018-06-21 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50185","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-06-20 16:00:00","2018-06-20 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49807","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-06-20 11:00:00","2018-06-20 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50479","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-06-19 14:00:00","2018-06-19 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Living with Animals: The Life of Bees","50699","","MUSEUM","Interested in bees? Come hear about the lives of bees, the importance of conservation, and how they make honey (45 minute program) by the Girl Next Door Honey organization. A question and answer period follows the presentation.","California Quadrangle in Balboa Park","2018-06-19 14:00:00","2018-06-19 15:00:00","50","10","San Diego Museum of Man","","1350 El PRado","32.73106","-117.1510158"
"TCT International Art Festival (5-day Event)","50160","","EXHIBITS","The Falun Dafa Assocation San Diego Branch presents the Truth, Compassion, Tolerance International Art Exhibit once a month between February and June. ","Cascade Area in Balboa Park","2018-06-17 12:00:00","2018-06-17 17:00:00","100","10","Falun Dafa Assocation San Diego Branch","","1650 El Prado","32.7316831239","-117.148984475"
"Sunday Artisan Market","50561","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-06-17 10:00:00","2018-06-17 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49925","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-06-17 09:00:00","2018-06-17 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50370","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-06-17 09:00:00","2018-06-17 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Hillcrest Car Show","50148","","FESTIVAL","Come and see classic cars displayed, talk to the owners, and get information on how to join the
LGBT Classic Car Club. ","Normal Street between Harvey Milk Street and University Avenue","2018-06-16 14:00:00","2018-06-16 18:00:00","250","20","Hillcrest Business Association","www.fabuloushillcrest.com","Normal & Harvey Milk Streets","32.7521124","-117.1481502"
"City Heights Farmer's Market (Every Saturday)","50102","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-06-16 09:00:00","2018-06-16 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","50369","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-06-16 09:00:00","2018-06-16 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
